Timestamp,ID,X,Y,Z,Dist_From_Center
01:45:44.492,drone_1,-3505.0000,-3505.0000,150.0000,4959.0876
01:45:44.542,drone_1,-3500.0000,-3500.0000,150.0000,4952.0198
01:45:44.592,drone_1,-3495.0000,-3495.0000,150.0000,4944.9520
01:45:44.642,drone_1,-3490.0000,-3490.0000,150.0000,4937.8842
01:45:44.693,drone_1,-3485.0000,-3485.0000,150.0000,4930.8164
01:45:44.743,drone_1,-3480.0000,-3480.0000,150.0000,4923.7486
01:45:44.793,drone_1,-3475.0000,-3475.0000,150.0000,4916.6808
01:45:44.843,drone_1,-3470.0000,-3470.0000,150.0000,4909.6130
01:45:44.893,drone_1,-3465.0000,-3465.0000,150.0000,4902.5453
01:45:44.944,drone_1,-3460.0000,-3460.0000,150.0000,4895.4775
01:45:44.994,drone_1,-3455.0000,-3455.0000,150.0000,4888.4098
01:45:45.044,drone_1,-3450.0000,-3450.0000,150.0000,4881.3420
01:45:45.094,drone_1,-3445.0000,-3445.0000,150.0000,4874.2743
01:45:45.145,drone_1,-3440.0000,-3440.0000,150.0000,4867.2066
01:45:45.195,drone_1,-3435.0000,-3435.0000,150.0000,4860.1389
01:45:45.245,drone_1,-3430.0000,-3430.0000,150.0000,4853.0712
01:45:45.295,drone_1,-3425.0000,-3425.0000,150.0000,4846.0035
01:45:45.346,drone_1,-3420.0000,-3420.0000,150.0000,4838.9358
01:45:45.396,drone_1,-3415.0000,-3415.0000,150.0000,4831.8682
01:45:45.446,drone_1,-3410.0000,-3410.0000,150.0000,4824.8005
01:45:45.496,drone_1,-3405.0000,-3405.0000,150.0000,4817.7329
01:45:45.547,drone_1,-3400.0000,-3400.0000,150.0000,4810.6652
01:45:45.597,drone_1,-3395.0000,-3395.0000,150.0000,4803.5976
01:45:45.647,drone_1,-3390.0000,-3390.0000,150.0000,4796.5300
01:45:45.697,drone_1,-3385.0000,-3385.0000,150.0000,4789.4624
01:45:45.748,drone_1,-3380.0000,-3380.0000,150.0000,4782.3948
01:45:45.798,drone_1,-3375.0000,-3375.0000,150.0000,4775.3272
01:45:45.848,drone_1,-3370.0000,-3370.0000,150.0000,4768.2596
01:45:45.898,drone_1,-3365.0000,-3365.0000,150.0000,4761.1921
01:45:45.948,drone_1,-3360.0000,-3360.0000,150.0000,4754.1245
01:45:45.998,drone_1,-3355.0000,-3355.0000,150.0000,4747.0570
01:45:46.049,drone_1,-3350.0000,-3350.0000,150.0000,4739.9895
01:45:46.099,drone_1,-3345.0000,-3345.0000,150.0000,4732.9219
01:45:46.149,drone_1,-3340.0000,-3340.0000,150.0000,4725.8544
01:45:46.199,drone_1,-3335.0000,-3335.0000,150.0000,4718.7869
01:45:46.249,drone_1,-3330.0000,-3330.0000,150.0000,4711.7194
01:45:46.299,drone_1,-3325.0000,-3325.0000,150.0000,4704.6520
01:45:46.349,drone_1,-3320.0000,-3320.0000,150.0000,4697.5845
01:45:46.399,drone_1,-3315.0000,-3315.0000,150.0000,4690.5170
01:45:46.449,drone_1,-3310.0000,-3310.0000,150.0000,4683.4496
01:45:46.499,drone_1,-3305.0000,-3305.0000,150.0000,4676.3821
01:45:46.550,drone_1,-3300.0000,-3300.0000,150.0000,4669.3147
01:45:46.600,drone_1,-3295.0000,-3295.0000,150.0000,4662.2473
01:45:46.650,drone_1,-3290.0000,-3290.0000,150.0000,4655.1799
01:45:46.700,drone_1,-3285.0000,-3285.0000,150.0000,4648.1125
01:45:46.751,drone_1,-3280.0000,-3280.0000,150.0000,4641.0451
01:45:46.801,drone_1,-3275.0000,-3275.0000,150.0000,4633.9778
01:45:46.851,drone_1,-3270.0000,-3270.0000,150.0000,4626.9104
01:45:46.901,drone_1,-3265.0000,-3265.0000,150.0000,4619.8431
01:45:46.952,drone_1,-3260.0000,-3260.0000,150.0000,4612.7757
01:45:47.002,drone_1,-3255.0000,-3255.0000,150.0000,4605.7084
01:45:47.052,drone_1,-3250.0000,-3250.0000,150.0000,4598.6411
01:45:47.102,drone_1,-3245.0000,-3245.0000,150.0000,4591.5738
01:45:47.152,drone_1,-3240.0000,-3240.0000,150.0000,4584.5065
01:45:47.203,drone_1,-3235.0000,-3235.0000,150.0000,4577.4392
01:45:47.253,drone_1,-3230.0000,-3230.0000,150.0000,4570.3720
01:45:47.303,drone_1,-3225.0000,-3225.0000,150.0000,4563.3047
01:45:47.354,drone_1,-3220.0000,-3220.0000,150.0000,4556.2375
01:45:47.404,drone_1,-3215.0000,-3215.0000,150.0000,4549.1703
